iso3c,countryname,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75+,total
SWE,Sweden,601450,592501,585901,541226,543786,733144,692949,627350,609202,654921,679405,617242,567133,526735,564149,962176,10099270
CHE,Switzerland,451829,433116,409669,425198,484186,555543,597572,621652,570855,595733,676756,643866,535823,441612,421519,789689,8654618
SYR,Syrian Arab Republic,1919096,1716807,1749863,1575262,1603500,1496483,1520848,1386345,1095036,833865,689438,595908,465146,357219,209320,286521,17500657
TJK,Tajikistan,1356750,1220860,977078,811289,833803,814719,786165,604166,472633,409766,372286,328604,246250,141640,77992,83641,9537642
THA,Thailand,3596052,3843780,4113805,4378506,4807904,4822404,4466694,4763033,5308840,5605417,5598953,5082441,4367653,3256703,2282338,3505455,69799978
TLS,Timor-Leste,178084,153794,153730,152986,129785,115123,89860,69167,46630,54158,48162,40311,30184,19960,17932,18576,1318442
TGO,Togo,1220060,1120121,1023991,891005,743733,631528,567255,497302,414564,329953,254832,195882,148012,107925,71771,60803,8278737
TON,Tonga,12201,12438,12103,11419,9698,7442,6110,6073,5326,4964,4856,3845,2963,2340,1645,2274,105697
TTO,Trinidad and Tobago,88366,96085,96320,89490,85696,97306,116833,126028,101245,90197,82715,92347,75717,60176,43960,57010,1399491
TUN,Tunisia,1004154,1013605,853066,786872,821287,904059,928189,985875,846845,725626,711339,650167,538872,423722,250363,374577,11818618
TUR,Turkey,6567148,6852122,6773238,6821911,6770019,6404144,6394980,6379751,6008074,5438505,4755468,4152955,3446200,2746192,1970496,2857864,84339067
TKM,Turkmenistan,661065,671865,524183,484560,461537,548254,525197,432688,378455,319366,283597,251862,200994,133450,68644,85470,6031187
UGA,Uganda,7796039,7059913,6192176,5257248,4328181,3544494,2848524,2252576,1765404,1368000,1065593,786842,567734,406591,261489,240196,45741000
UKR,Ukraine,2113850,2475661,2403743,1979774,2146047,2752444,3584834,3624124,3337191,3069213,2802958,3103779,2927644,2612212,1769077,3031208,43733759
ARE,United Arab Emirates,499138,512575,453459,389532,715753,1433590,1795746,1373568,916021,692088,456601,341312,185966,56741,36260,32050,9890400
GBR,United Kingdom,3924490,4119566,3956340,3686133,4074640,4484067,4706828,4588196,4308130,4296121,4634540,4538925,3905016,3381761,3388488,5892763,67886004
TZA,United Republic of Tanzania,9738602,8623714,7654580,6434462,5262555,4583694,3902890,3259038,2684793,2135934,1660783,1265852,948189,674611,472213,432303,59734213
USA,United States of America,19676332,20045152,21089487,21242908,22258745,23835330,23052479,21615791,20294599,20053798,20577807,21542270,20669143,17819027,14354863,22874916,331002647
VIR,United States Virgin Islands,5970,6898,7242,6776,6484,6247,4688,5043,5541,6225,7085,7364,7458,6563,6347,8492,104423
URY,Uruguay,236656,236414,233314,245615,254065,257495,239616,221530,234364,220656,196341,194736,178824,149097,123811,251193,3473727
UZB,Uzbekistan,3431637,3282087,2925422,2535432,2782336,3164651,3030397,2546798,2105400,1825100,1568642,1500119,1168385,771243,343946,487604,33469199
VUT,Vanuatu,42080,38805,37092,29834,25909,24859,22997,18006,16116,13076,11562,8983,6750,4687,3149,3245,307150
VEN,Venezuela (Bolivarian Republic of),2363409,2731190,2657796,2500772,2101628,2028711,2064324,1963597,1867720,1697254,1599831,1415152,1177441,865114,603581,798423,28435943
VNM,Viet Nam,7892471,7586101,7098174,6500869,6820203,8569293,8437027,7763897,7033826,6539136,5868357,5241611,4330954,3011733,1651958,2992973,97338583
ESH,Western Sahara,56470,56124,49832,48537,50165,54820,56162,52553,45719,37075,29218,22733,17632,10742,5094,4454,597330
YEM,Yemen,4115306,3918102,3548681,3201593,2925246,2807500,2329316,1811122,1362091,1000713,773313,649522,509267,370183,258978,245035,29825968
ZMB,Zambia,2946454,2717088,2428598,2121583,1746939,1433444,1193475,991719,808231,605658,433597,327662,237554,166281,112763,112910,18383956
ZWE,Zimbabwe,2097448,2210712,1921060,1638895,1377829,1105162,994874,872602,737527,520295,389420,308669,240442,184973,114658,148361,14862927
